postcode	median	average
4891	35855	46381
4895	37130	44720
5000	41507	60342
5006	51606	90614
5007	44693	52227
5008	41559	46940
5009	42315	48233
5010	38188	42858
5011	43583	50016
5012	36795	41319
5013	41235	45603
5014	42364	47525
5015	45145	50906
5016	46689	54778
5017	42284	46881
5018	45928	55322
5019	45496	55210
5020	43606	58065
5021	44392	59457
5022	47415	65729
5023	40372	45459
5024	43349	55122
5025	42469	50222
5031	43466	51936
5032	43201	52721
5033	42583	47805
5034	48237	68476
5035	43312	53487
5037	41903	49202
5038	41398	47878
5039	42737	49980
5040	42220	57566
5041	46920	58942
5042	37788	45590
5043	40909	46057
5044	47134	61797
5045	46173	62775
5046	42143	48334
5047	40474	47381
5048	44390	61590
5049	44483	57149
5050	42479	53996
5051	46370	56637
5052	46606	60325
5061	53239	89856
5062	48842	74893
5063	47924	65610
5064	49182	79882
5065	48114	77137
5066	51405	81446
5067	47826	70130
5068	47188	71669
5069	49588	74462
5070	43087	55042
5072	45168	60429
5073	41615	51895
5074	40917	46819
5075	41467	48344
5076	42861	51852
5081	51670	88652
5082	46522	59254
5083	45814	54039
5084	36060	40135
5085	43177	49485
5086	42248	47366
5087	41665	47583
5088	40597	43724
5089	45447	53785
5090	40755	45013
5091	43671	50572
5092	41905	46591
5093	40636	43935
5094	37041	42892
5095	44665	51011
5096	41285	45779
5097	43512	48909
5098	41564	45889
5107	39614	42516
5108	39892	42551
5109	41401	45913
5110	42254	45727
5111	57769	58460
5112	39193	42479
5113	36245	38090
5114	42406	46765
5115	41021	43564
5116	41870	47156
5117	44647	51454
5118	43658	51320
5120	37674	43743
5121	37121	41331
5125	47477	55141
5126	44355	50326
5127	45485	52310
5131	43460	54852
5132	44646	62641
5133	43711	53391
5134	38796	55721
5136	41678	58067
5137	45232	59183
5140	56024	67252
5141	40546	55757
5142	46788	67478
5144	44826	66814
5151	50207	74786
5152	49433	74828
5153	42719	60483
5154	48545	72442
5155	45729	55733
5156	46881	57614
5157	40099	54545
5158	43960	49852
5159	43354	51004
5161	41599	44696
5162	40245	44300
5163	38359	42773
5164	36646	39135
5165	37658	43419
5166	38187	40860
5167	41459	46944
5168	40001	44894
5169	40768	46103
5170	38843	44621
5171	39024	49540
5172	40292	48273
5173	38738	44671
5174	37932	44732
5201	37563	44797
5202	39756	46423
5203	32946	39479
5204	31560	40732
5210	39266	47189
5211	32477	41074
5212	31665	38804
5213	34161	45916
5214	30964	39615
5220	28223	32716
5222	29986	40137
5223	33095	38869
5231	41709	62195
5232	41227	54804
5233	41079	49321
5234	42830	49795
5235	36482	43950
5238	33292	39808
5240	42538	49096
5241	41765	48394
5242	43064	61429
5243	43420	59904
5244	41407	50703
5245	41806	58291
5250	45547	54858
5251	42136	50750
5252	43106	49009
5253	35843	40096
5254	36491	42127
5255	38352	45106
5256	32528	38727
5259	30813	37297
5260	34970	39117
5261	33456	39210
5262	38754	47595
5264	35411	41990
5265	32590	36231
5266	33524	40426
5267	37099	39949
5268	36831	43083
5270	34311	37372
5271	37509	45988
5272	38956	47653
5275	36576	45508
5276	34877	44423
5277	38120	44261
5278	37460	49611
5280	37747	47736
5290	40336	46734
5291	41457	53674
5301	27524	35015
5302	36706	41645
5304	33510	36989
5307	32962	37896
5320	38092	43766
5322	35142	40436
5330	35025	41351
5332	34793	45403
5333	36556	43396
5340	34677	47879
5341	34616	40467
5342	36672	41229
5343	36973	43305
5344	37667	41629
5345	36527	41717
5350	44462	51794
5351	42506	50593
5352	43317	54235
5353	38603	48348
5355	41589	46771
5356	40258	44308
5360	42633	49042
5371	42443	51908
5372	43638	48877
5373	39640	45636
5374	34861	41843
5400	45020	50524
5401	42263	45885
5412	37139	46017
5413	31672	44857
5417	35669	42158
5422	34354	39991
5431	36967	42937
5433	40680	52246
5434	41359	46271
5451	35394	39639
5452	37177	45622
5453	40625	50477
5454	36362	38809
5460	38372	47754
5461	39291	47330
5462	39405	50429
5464	42350	50286
5473	39105	48886
5480	36509	47167
5481	29849	35832
5482	34991	43284
5485	41900	51202
5491	39793	51531
5495	35006	48380
5501	43017	51855
5502	42214	53943
5520	39360	50265
5522	35840	46444
5523	43725	55482
5540	39651	48575
5550	35401	41204
5554	40963	51966
5555	42429	57229
5556	36797	43341
5558	36018	44168
5560	43670	67207
5571	36047	47153
5573	38713	55385
5575	33050	41199
5576	33129	42090
5577	31415	38454
5580	36247	43226
5581	32366	45983
5582	36927	49439
5583	31986	43782
5600	52825	64269
5602	36814	49486
5603	37415	46746
5605	35892	44750
5606	40957	51152
5607	36710	44869
5608	45576	55798
5609	62996	69355
5631	40518	47912
5633	38442	41560
5640	41928	46741
5641	40797	49608
5652	42018	46774
5670	39917	44527
5680	38041	47494
5690	42137	49896
5700	44311	52587
5710	47496	56810
5723	38635	44653
5725	82540	91421
5731	61891	70193
6000	53748	82784
6003	43664	59822
6004	49511	75050
6005	53821	77407
6006	56662	79369
6007	57269	85368
6008	61678	101644
6009	57645	131917
6010	57603	109963
6011	69228	144273
6012	55878	115752
6014	55218	91247
6015	63850	130228
6016	54090	74407
6017	48316	58350
6018	54856	76069
6019	55362	76005
6020	52600	80017
6021	49123	65033
6022	48666	59743
6023	51232	71113
6024	47871	58915
6025	50829	70028
6026	50186	64785
6027	48917	63079
6028	51979	70326
6029	58050	90048
6030	46953	60921
6031	50530	60544
6033	44953	60188
6034	53927	63561
6035	48616	61318
6036	49923	62429
6037	44078	60191
6038	56129	65088
6041	36672	54967
6044	37720	57473
6050	55085	91904
6051	52508	66099
6052	52306	68877
6053	52725	66917
6054	49224	59576
6055	53769	67295
6056	48518	59191
6057	51980	62227
6058	50152	58132
6059	47089	64012
6060	51118	63843
6061	43592	49534
6062	44647	54461
6063	45065	51967
6064	42639	49273
6065	50682	62109
6066	45635	54167
6069	53869	64610
6070	50053	72329
6071	47970	68101
6072	47509	61235
6073	45320	63697
6074	46784	63334
6076	48442	67076
6077	46840	75360
6078	49868	70380
6081	49626	65207
6082	47902	62660
6083	48058	71119
6084	49829	63714
6100	50453	67284
6101	50333	63264
6102	37736	48563
6103	49878	63080
6104	49273	64364
6105	46697	55217
6107	44821	52840
6108	45773	54011
6109	44553	51235
6110	47649	56516
6111	46863	58264
6112	49873	59467
6121	50341	66679
6122	53828	67371
6123	47891	60729
6124	47028	64423
6125	49393	67866
6147	43460	51486
6148	45748	65259
6149	46972	64498
6150	42869	64596
6151	56657	94990
6152	51291	72705
6153	52904	111865
6154	47812	70619
6155	47594	61380
6156	55358	81809
6157	54324	76193
6158	56588	87497
6159	62416	100933
6160	48042	71876
6162	50070	72912
6163	47983	61745
6164	53684	66343
6166	51891	69985
6167	49354	58995
6168	47790	60136
6169	48057	62693
6170	52589	62165
6171	56900	69100
6172	51819	65956
6173	58621	75805
6174	49293	66339
6175	54503	71331
6176	47511	66451
6180	51486	65115
6181	48203	68673
6207	46341	63453
6208	44857	62579
6209	42430	60180
6210	44688	63547
6211	42812	64408
6213	44653	60064
6214	40473	58320
6215	47156	64577
6218	36982	49878
6220	44268	56803
6224	44564	56860
6225	48558	66998
6226	51722	70999
6227	50491	64091
6230	46656	63322
6232	48484	61412
6233	49575	66174
6236	42812	58046
6237	47116	63719
6239	37414	52512
6244	37206	47563
6251	36899	46998
6253	29458	43863
6254	36469	52740
6255	37465	51430
6258	39078	48005
6260	35768	48759
6262	34492	48265
6271	42736	55270
6275	32958	44490
6280	40509	54200
6281	42011	61450
6282	36996	57321
6284	40982	58293
6285	37428	50370
6286	33507	44234
6288	32124	41739
6290	32596	44131
6302	41126	55006
6304	42433	58179
6306	44597	66103
6308	47598	63401
6311	50807	58017
6312	44669	54360
6315	40889	51692
6316	49857	72371
6317	41968	49831
6318	41925	64697
6320	44827	55898
6321	33549	42059
6323	37560	44816
6324	36172	45609
6326	34820	40380
6328	37225	49509
6330	39967	49880
6333	33546	46446
6335	48622	65502
6336	46376	61408
6337	55023	67562
6338	42263	58573
6346	55492	70940
6348	47396	63839
6350	52398	63683
6353	52100	66084
6355	63244	91955
6359	52155	72654
6365	52314	65798
6367	50170	63332
6369	49077	65941
6370	48413	55972
6375	51113	63946
6383	56827	75988
6390	64286	74528
6391	46711	61519
6392	48661	56122
6395	38802	50027
6396	37849	47859
6398	30143	42289
6401	46650	56947
6405	52065	59179
6407	50948	63196
6409	55000	69866
6410	42469	57664
6415	48618	58134
6418	57309	74318
6426	51992	66844
6429	54748	61533
6430	63351	73488
6432	57400	67154
6438	47899	54062
6440	42336	50906
6442	72463	77829
6443	42484	52914
6448	36022	47498
6450	43160	55479
6460	47241	62218
6461	44686	62541
6468	45527	59857
6475	45893	53681
6479	39263	46107
6485	50282	66761
6501	47619	60777
6502	37209	52558
6503	37111	47391
6507	45323	59002
6510	44595	53960
6511	39856	62540
6514	37423	60899
6515	39450	52983
6516	43316	61741
6517	46634	53029
6519	37579	51053
6521	36589	46942
6522	47739	63674
6525	43431	63836
6528	37985	50736
6530	46800	59861
6532	50222	62485
6535	34277	48081
6536	36588	52491
6537	41174	49693
6556	48371	60092
6558	44753	54307
6560	46799	55403
6562	42853	56892
6564	41654	54705
6566	41094	54936
6603	46935	58568
6609	45817	54142
6620	40919	52942
6623	46811	55043
6630	46792	54806
6638	38837	49975
6642	43862	52798
6701	42021	53571
6707	48284	62821
6710	95841	122384
6713	103230	114920
6714	78540	91938
6716	117686	105456
6718	43353	51862
6720	95030	96167
6721	87426	99725
6722	75596	84258
6725	49647	59096
6726	52960	63766
6728	46200	54646
6740	48788	59874
6743	50044	60101
6751	90277	90084
6753	76696	89071
6754	115356	101331
6765	37170	46554
6770	42126	49553
6798	74375	73953
6799	44392	50025
7000	44514	59423
7004	43773	61861
7005	42068	67715
7007	47827	61165
7008	45301	54529
7009	40064	44430
7010	39624	42695
7011	40622	43777
7012	43763	47309
7015	43740	50779
7016	36672	39362
7017	44571	49598
7018	43145	51441
7019	39104	41946
7020	44987	54086
7021	43886	51892
7022	41855	46654
7024	44481	53785
7025	41467	51254
7026	37113	41892
7030	39047	43683
7050	42041	49453
7052	43817	53801
7053	45865	61505
7054	43536	51549
7055	44462	47864
7109	36867	45512
7112	31521	41191
7113	37392	43139
7116	34311	41618
7117	36616	47270
7120	32395	36677
7140	37283	42469
7150	36227	46345
7155	36366	47550
7162	33529	47239
7170	45441	57265
7171	42135	46592
7172	39464	44905
7173	38979	43733
7177	34890	38936
7179	30709	40782
7184	29610	34910
7190	32126	38719
7209	35423	50201
7210	34939	41393
7212	39216	47144
7214	31432	41455
7215	31605	41369
7216	29051	37606
7248	35476	39619
7249	40461	46012
7250	41621	52441
7252	41527	51694
7253	37777	45086
7254	36100	40146
7255	33754	44141
7256	39007	47312
7258	46037	66700
7259	36966	41973
7260	36016	40260
7262	35969	44181
7263	30537	39657
7264	29586	39168
7267	38805	42687
7268	41575	47115
7270	34175	42631
7275	36691	45055
7276	35889	41416
7277	41054	49236
7290	41558	45458
7291	41143	48663
7292	37296	44398
7300	41342	48027
7301	39319	47585
7302	36749	43023
7303	35798	43851
7304	32746	40280
7305	37610	41506
7306	33651	41234
7307	39026	47269
7310	37549	45142
7315	37894	45653
7316	39869	48257
7320	40160	48356
7321	38687	45615
7322	40461	48548
7325	38551	45943
7330	40320	45652
7331	41123	50453
7467	41758	49518
7468	44423	52549
7469	43261	55242
7470	52299	65668
650	45471	60714
258	45471	60714
509	45471	60714
376	45471	60714
280	45471	60714
308	45471	60714
403	45471	60714
273	45471	60714
351	45471	60714
412	45471	60714
457	45471	60714
222	45471	60714
517	45471	60714
366	45471	60714
456	45471	60714
711	45471	60714
235	45471	60714
301	45471	60714
335	45471	60714
288	45471	60714
220	45471	60714
265	45471	60714
510	45471	60714
526	45471	60714
304	45471	60714
607	45471	60714
284	45471	60714
706	45471	60714
725	45471	60714
252	45471	60714
317	45471	60714
221	45471	60714
